,index,title,description,price,details,parent_asin
105,30355,STARAMZ 7 Set Bachelorette Scrunchies Bridesmaid Proposal Gifts Hair Ties for Women Bachelorette Party Favors ( Blush),,,"{'Material': 'Satin', 'Item Form': 'Scrunchie', 'Brand': 'STARAMZ', 'Hair Type': 'Straight', 'Number of Pieces': '7', 'Package Dimensions': '9.69 x 7.8 x 2.44 inches; 2.89 Ounces'}",B08YNR839W
106,30520,"Simply Dana Cellular De-Stressing Cream, Boost Skin's Natural Immunity - 1 oz (30g)",,,"{'Brand': 'Simply Dana', 'Item Form': 'Cream', 'Unit Count': '1.0 Ounce', 'Item Volume': '1 Fluid Ounces', 'Age Range (Description)': 'Adult', 'Package Dimensions': '2.4 x 2.2 x 1.4 inches; 1.59 Ounces', 'UPC': '602573781319'}",B07W1WJZFG
107,30703,BFWood,,,"{'Brand': 'BFWood', 'Shape': 'Oblong', 'Unit Count': '1.00 Count', 'Hair Type': 'All, Dry, Curly, Thick', 'Material': 'Nylon', 'Package Dimensions': '9.92 x 9.45 x 1.85 inches; 5.08 Ounces'}",B08BY9P4HR
108,30790,"Nail Clipper Set, GIDIBII Luxury 18 in 1 Stainless Steel Nail Clipper Kit, Manicure Pedicure Care Tools with Portable Travel Case",,,"{'Brand': 'GIDIBII', 'Blade Material': 'Stainless Steel', 'Item Dimensions LxWxH': '5.8 x 3.8 x 0.8 inches', 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '5.8 x 3.8 x 0.8 inches; 11.99 Ounces', 'Item model number': 'Manicure Set', 'UPC': '799445199218', 'Manufacturer': 'GIDIBII'}",B083J1Y349
109,31332,Brazilian Straight Bundles Human Hair 3 Bundles 10A Straight Weave Hair Bundles 100% Unprocessed Virgin Hair Extensions Natural Black (22 24 26),,,"{'Brand': 'ALIANNA', 'Color': 'black', 'Material': 'Human Hair', 'Hair Type': 'Straight', 'Material Feature': 'Natural', 'Package Dimensions': '11.69 x 9.72 x 3.43 inches; 10.86 Ounces'}",B08QFGV5ZQ
110,31731,"3 Barrel Curling Iron, Milantia 3/4 Inch Mini Travel Curling Wand Hair for Small Curly, Dual Voltage Ceramic Tourmaline 19mm Crimper Hair Iron for Women - Fast Heating, Portable",,,"{'Shape': 'Barrel', 'Brand': 'Milantia', 'Hair Type': 'All,Thick,Thin', 'Material': 'Ceramic', 'Power Source': 'Corded Electric', 'Product Dimensions': '9.25 x 1.97 x 1.97 inches; 12.63 Ounces', 'Manufacturer': 'Milantia'}",B08NPBQR9L
111,31988,"Manicure and Pedicure Nail Clipper from POWERGROOMING - Powerful Trimmer for Thick and Thin Finger Nails and Toe Nails - Included Nail File and""Catcher"" for Easy Cleanup (1 Pack)",,,"{'Brand': 'POWERGROOMING', 'Material': 'Stainless Steel', 'Blade Edge': 'Straight', 'Blade Material': 'Stainless Steel', 'Target Audience': 'Women, Men', 'Package Dimensions': '3.8 x 1.3 x 1 inches; 3.21 Ounces', 'UPC': '653233212735', 'Manufacturer': 'POWERGROOMING'}",B07J3GH1W1
112,33113,Acrylic Nail Powder Set Vcedas 24 Colors Acrylic Nail Art Tips UV Gel Carving Powder Dust Design Decoration 3D Manicure,,,{'Product Dimensions': '5.91 x 3.94 x 0.79 inches; 1.3 Pounds'},B08DRBZNZJ
113,33140,"Facial Steamer with Portable Mini Cold Facial Mister, Face Steamer for Facial Deep Cleaning, Nano Ionic Face Hot Steaming Machine for Home Facials Personal Moisturizing Skincare Beauty",,,"{'Material': 'Cotton', 'Brand': 'ROSEFEAST', 'Power Source': 'Corded Electric', 'Product Benefits': 'Cold,Moisturizing,Relaxing,Clean,Aromatherapy', 'Package Dimensions': '8.31 x 7.87 x 4.57 inches; 1.57 Pounds', 'Manufacturer': 'ROSEFEAST'}",B08P4YQ3K5
114,33605,Kneipp Shower Foam Goodbye Stress Water Mint & Rosemary 6.81 Oz,,16.0,"{'Item Form': 'Foam', 'Skin Type': 'All', 'Brand': 'Kneipp', 'Scent': 'Rosemary', 'Material Feature': 'Plant Based', 'Package Dimensions': '8.2 x 2.5 x 2.5 inches; 9.59 Ounces'}",B08KGVBW41
115,34150,Strixaderm Lash Advance Eyelash Conditioner - Hypo Allergenic Eyebrow Enhancer Serum & Primer Mascara For Natural Eye Brow Growth & Thick Long Lashes,,,"{'Package Dimensions': '4.4 x 1.4 x 1.3 inches; 0.81 Ounces', 'UPC': '096563380000'}",B07PCSRSND
116,34544,Argan Magic 100% Pure Argan Oil – Moisturizing Oil that Infuses Skin with Enriched Hydration | Leaves Skin Restored & Refreshed | Non-Greasy | Rich in Vitamin E | Made in USA | Cruelty Free (2 oz),,,"{'Brand': 'Argan Magic', 'Item Form': 'Oil', 'Active Ingredients': 'Vitamin e', 'Unit Count': '2 Fl Oz', 'Number of Items': '1', 'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '4.2 x 1.1 x 1.1 inches; 2 Ounces', 'UPC': '605923474046'}",B00O2FGBJS
117,34594,"Emilia Hypoallergenic Bath Oil for Babies - Paraben-Free Natural Baby Wash Enriched With Natural Oat Extract, Sunflower, Sweet Almond, Sesame, Calendula, and Chamomile 8.5 fl.oz.",,,"{'Brand': 'Emilia', 'Scent': 'Chamomile', 'Item Form': 'Oil', 'Unit Count': '8.5 Fl Oz', 'Number of Items': '1', 'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '6.81 x 2.05 x 1.85 inches; 8.78 Ounces'}",B07FP2C8N8
118,35733,"Shakira Perfumes - Dance for Women - Long Lasting - Femenine, Charming and Modern Perfume - Fruity Floral Notes - Ideal for Day Wear - 1.7 Fl Oz",,29.34,"{'Brand': 'Shakira', 'Item Form': 'Liquid', 'Item Volume': '50 Milliliters', 'Scent': 'Dance', 'Special Feature': 'Long Lasting', 'Is Discontinued By Manufacturer': 'No', 'Language': 'English', 'Product Dimensions': '2.64 x 2.05 x 5.63 inches; 1.76 Ounces', 'Item model number': '8411061823033'}",B0BTJ6SYKB
119,35946,"Glass spray bottle-16 ounce empty bottle ounce refillable container 2 packs, suitable for essential oils, cleaning products, aromatherapy, water mist plants with mist and air flow settings",,,"{'Brand': 'DS DOODLE SABBATH', 'Capacity': '16 Ounces', 'Number of Items': '2', 'Item Dimensions LxWxH': '2.76 x 2.76 x 8.27 inches', 'Special Feature': 'Adjustable Nozzle', 'Product Dimensions': '2.76 x 2.76 x 8.27 inches; 1.4 Pounds', 'UPC': '619011520959'}",B089ZQ8Y95
120,36188,"Busy Co. Biodegradable Hydrating Hand Wipes, With Collagen and Peptides to Smooth and Improve Elasticity, 15 Individually Wrapped Wipes (Refresh Line - Fresh Citrus)",,,"{'Brand': 'BUSYCO', 'Skin Type': 'All', 'Unit Count': '1.00 Count', 'Number of Items': '1', 'Age Range (Description)': 'Adult', 'Product Dimensions': '4.5 x 7.3 x 3.5 inches; 4.16 Ounces'}",B08DK74M1P
121,36201,Bouquet Garni Body Shower White Musk - Unique Fragrance Decanting Engineering Method gives Long Lasting Rich Fragrance - Gentle and Mild Cleansing Scented Body Wash with Natural Surfactant 17.85 Fl Oz,,13.99,"{'Item Form': 'Gel', 'Skin Type': 'All, Dry', 'Brand': 'Bouquet Garni', 'Scent': 'Garni', 'Material Feature': 'Natural', 'Package Dimensions': '8.23 x 6.34 x 3.66 inches; 1.34 Pounds'}",B08YJV9YL2
122,36965,"CONBOLA Make Up Organizer 5 in 1 Dresser Organizer,Portable for Lipstick and Jewlry ,Makeup Organizer and Temporary Makeup Brush Holder,Multi-purpose for Girl Women.36.6cm18cm.(Blue)",,,"{'Material': 'Silicone', 'Special Feature': 'Portable', 'Color': 'Blue', 'Brand': 'CONBOLA', 'Mounting Type': 'Tabletop Mount', 'Unit Count': '1 Count', 'Package Type': 'Standard Packaging', 'Number of Items': '1', 'Package Dimensions': '15.08 x 7.44 x 1.5 inches; 1.65 Pounds', 'UPC': '750226660013'}",B08LZ6W8RF
123,37067,"Hair Scrunchies for women,Including 3 Pcs Long Silk Satin Hair Scarf & 3 Pcs Bunny Ear Scrunchies & 3 Pcs Elastic Hair Bands Scrunchy and 7Pcs Pearl Hair Clips,(16Pcs/9Colors)",,,"{'Material': 'Pearl, Silk', 'Item Form': 'Scrunchie', 'Brand': 'Suptikes', 'Item Dimensions LxWxH': '5 x 5 x 0.7 inches', 'Hair Type': 'Curly', 'Product Dimensions': '5 x 5 x 0.7 inches; 7.2 Ounces', 'UPC': '760635003608'}",B07VQR3W3Z
124,37192,"FASCY LAB GREEN+ Korean Sunscreen — SPF 50+PA++++, Daily Facial Sunscreen, Sun Cream With Patented Ingredients, Korean Spf, Korean Sun Cream for Face — Paraben Free [1 x 1.69 Fl.Oz.]",,24.99,"{'Sun Protection': '50 SPF', 'Item Weight': '50 Milligrams', 'Number of Items': '1', 'Unit Count': '1.69 Fl Oz', 'Skin Type': 'Dry', 'Item model number': 'KC'}",B08NJ5BTWG
125,37222,"Birthday Gift, Yachyee hair removal device","What's in Yachyee Relaxing Gifts for Women:|--- 12 oz Rose Gold insulated stainless steel tumbler with a reusable straw and cleaning brush, with the words """"Beauty begins the moment you love yourself"""". --- Flower Petal Bath Bombs, drop them into the tub to relax among the delicate aromas of vanilla and lavender petals. --- Scented Candle, made of 100% soy wax, luxurious and all-natural, can immediately turn your space into a little serene and peaceful flower garden. --- Rose Bar Soap, made with natural flower essential oil to bring you to a dreamland of lavender cloud. --- Beautiful Key Bottle Opener and heart shape Wine Bottle Stopper --- Greeting Card, you can write your special blessing to her. 🎈 DON'T FORGET TO SELECT """"THIS ORDER CONTAINS A GIFT"""" AT CHECKOUT TO ADD YOUR FREE PERSONALIZED MESSAGE THROUGH AMAZON.🎈 50th 60th 40th birthday gifts for women 30th birthday gifts for her get well soon gift basket gifts for women gift basket for women self care gifts for women sister birthday gifts from sister",,"{'Item Form': 'Variety', 'Material Feature': 'Organic Ingredients, Vegan', 'Skin Type': 'All', 'Brand': 'Yachyee', 'Number of Items': '4', 'Product Dimensions': '7.7 x 6.8 x 3.5 inches; 12 Ounces', 'UPC': '697478889727', 'Manufacturer': 'Yachyee'}",B09GVHT2D3
126,37487,AORAEM Mini Nail Dust Collector Portable Suction Dust Collector Machine Handheld Table Dust Sweeper with Brush for Nail Drills Acrylic Nails (Light Grey),,,{'Package Dimensions': '4.02 x 3.58 x 2.8 inches; 4.66 Ounces'},B09571TNVG
127,37832,Purple Hair Mask for Blonde with Keratin & Jojoba Oil - Platinum & Silver Hair - Instantly Eliminate Brassiness & Yellows - Made in USA - Hair Toner - Bleached & Highlighted Hair - Sulfate Free - 8 oz,,,"{'Brand': 'WELLUTION', 'Item Form': 'Oil', 'Material Feature': 'Natural', 'Hair Type': 'Damaged,Dry,Color-treated', 'Product Benefits': 'Hydrating Treatment', 'Package Dimensions': '3.07 x 2.9 x 2.8 inches; 8 Ounces', 'UPC': '749715278440'}",B089RLLT5C
128,38135,WIS Acne Skin Pleiotropic Conditioning Face Mask Acne Scar Remover & zit Treatment & Blemish Fightting & Reduce Pores | Organic Mask Care Acne Prone skin-24 Pcs,,,"{'Brand': '+WIS+', 'Item Form': 'Sheet', 'Product Benefits': 'Moisturizing', 'Scent': 'Aloe Vera', 'Skin Type': 'Acne Prone', 'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '8.07 x 4.61 x 3.66 inches; 1.83 Pounds'}",B07T4LKC4D
129,38164,"360 Lazy Susan Makeup Organizer, Rotating Bathroom Shelves Countertop Carousel Organizer Cosmetic Storage, Crystal Clear",,,"{'Mounting Type Tabletop Mount': '', '': 'Item Weight 0.3 Pounds', 'Special Feature': '360 Rotation', 'Brand': 'Sanipoe', 'Unit Count': '1.00 Count', 'Package Type': 'Standard Packaging', 'Number of Items': '1', 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '60 x 48 x 36 inches; 4.8 Ounces', 'Item model number': 'EK-ZSyxhezi-190412-BK-FA', 'UPC': '745695305398'}",B07X8W7GJZ
130,38175,"Sand & Sky Face Roller & Massager Tool. Aussie Skincare Essentials Firming Face Roller, Sculpt, Sooth & Contour to Banish Puffiness and Boost Serum Absorption.",,,"{'Package Dimensions': '8.19 x 6.46 x 2.95 inches; 9.35 Ounces', 'Manufacturer': 'Sand & Sky'}",B08RYN11N9
131,38681,"12 Sheets 3D Iridescent Butterfly Nail Art Stickers for Fingernail Toenail, Self-Adhesive Butterfly Nail Decals, Holographic Glittery Butterfly Nail Decorations for Women Girls",,,"{'Surface Recommendation nail': '', '': 'Shape Irregular', 'Installation Type Self-Adhesive': '', 'Brand': 'RUUKON', 'Room Type': 'Anywhere', 'Theme': 'Butterflies,Butterfly', 'Number of Pieces': '12', 'Style': 'Floral', 'Age Range (Description)': 'Adult', 'Reusability': 'Single Use', 'Item Form': 'Sheet', 'Pattern': 'Insect', 'Unit Count': '12.00 Count', 'Package Dimensions': '5.19 x 3.22 x 0.27 inches; 0.81 Ounces', 'UPC': '704129514447'}",B08JZD8HN4
132,38853,Bodyguard Moisturizing Immunity Soap 6pk | 7 Essential Oils Clinically Evaluated to Boost Immunity and Protect | Moisturizes with Sweet Almond Oil | Healthy PH for Skin Microbiome,,,"{'Item Form': 'Oil', 'Skin Type': 'Dry', 'Brand': 'Spa-Da', 'Scent': 'Cinnamon', 'Age Range (Description)': 'Adult', 'Package Dimensions': '8 x 3.3 x 2 inches; 7.2 Ounces', 'UPC': '860003618998'}",B086TS3BKQ
133,38895,MainBasics Headband with Buttons for Face Masks (Gray),,,"{'Number of Items': '1', 'Brand': 'MainBasics', 'Unit Count': '1.00 Count', 'Package Dimensions': '9.5 x 3.5 x 0.3 inches; 0.81 Ounces', 'UPC': '790887351233'}",B088FBNQXW
134,39048,"WIS Hyaluronic Acid Facial Masks for Women Anti Aging, Moisturizing for All Skin Type 24 Pcs Sheet Mask, Daily Skin Care",,,"{'Brand': '+WIS+', 'Item Form': 'Mask', 'Product Benefits': 'Moisturizing', 'Scent': 'Hyaluronic Acid', 'Skin Type': 'All', 'Package Dimensions': '6.18 x 5.04 x 4.13 inches; 1.83 Pounds'}",B08XZDXTG2
135,39053,Nose Pore Wax Strips for hair removal,,,"{'Item Form': 'Cream', 'Recommended Uses For Product': 'Scars, Dark Spots, Acne, Uneven Skin Tone, Inflammation', 'Skin Type': 'Acne Prone,All Skin Types', 'Brand': 'GLAMOR VALLEY', 'Product Benefits': 'Moisture', 'Product Dimensions': '1.97 x 1.97 x 1.97 inches; 6.74 Ounces'}",B099959RFF
136,39676,Purple Shampoo and Conditioner Set - Blonde Shampoo - Made in USA - Purple Hair Silver Shampoo - Hair Toner Shampoo & Conditioner for Brassy Hair - Purple Toning Shampoo & Overtone Conditioner,,,"{'Product Benefits': 'Hydrating,Shine,Nourishing', 'Brand': 'WELLUTION', 'Hair Type': 'Curly', 'Scent': 'Natural', 'Number of Items': '2', 'Package Dimensions': '7.5 x 3.8 x 2 inches; 1.2 Pounds', 'UPC': '749715278457'}",B08GMC48QF
137,39714,"Spanature Lavender Hand & Body Lotion Travel Size Selection 4 Pack, Relaxing and Revitalizing Moisturizer for Rough and Dry Skin, Nourishing and Gentle for All Skin Types, Made In Korea - 75 ml/2.53oz",,,"{'Brand': 'Spanature', 'Scent': 'Lavender', 'Item Form': 'Lotion', 'Unit Count': '4.00 Count', 'Number of Items': '4', 'Package Dimensions': '5.08 x 4.29 x 2.91 inches; 1.06 Pounds', 'UPC': '088234470592'}",B08LPJT4MT
138,39788,Besame Cosmetics | Forever Red Lipstick - 1925 | Classic Color Lipstick | Vintage Makeup | Long Lasting Lipstick | Semi Matte Lipstick for Women | Moisturizing Lipstick for Sensitive Skin,,,"{'Brand': 'BESAME COSMETICS', 'Skin Type': 'All', 'Item Form': 'Powder', 'Finish Type': 'Semi Matte', 'Product Benefits': 'Hydrating,Long Lasting,Nourishing,Clean,Moisturizing,Makeup', 'Package Dimensions': '4.45 x 1.14 x 1.06 inches; 0.74 Ounces'}",B005AL5H9S
139,40098,LeiCare Tweezers Precision 2-Pack - Stainless Steel Slant Tweezers for Ingrown Hair – Professional Tweezer Set with Slanted Tips for Eyebrows and Splinter Removal - Eyebrow Plucker Kit,,,{'Product Dimensions': '3.74 x 0.39 x 0.18 inches; 3.17 Ounces'},B08BLX72TP
140,40180,"Bath Bombs Gift Set, Bath Bomb Gift for Women with Rose Petals, Lavender Scent 5pc Handmade Bubble Bath Gift Box with Soap & Petals Mothers Day Gifts Ideas for Mom, New Mom, Wife Birthday Gift for Her",,,"{'Brand': '# BFFLOVE', 'Scent': 'Lavender,Rose', 'Age Range (Description)': 'Adult', 'Product Benefits': 'Softening,Stress Relief,Moisturizing,Aromatherapy', 'Material Feature': 'Organic, Vegan', 'Product Dimensions': '7.65 x 1.85 x 5.35 inches; 13.76 Ounces', 'UPC': '810001817473', 'Manufacturer': '# BFFLOVE'}",B095CG2ZV1
141,41571,"Nail Polish Gel Remover Tools Kit for Women with Nail Clip Caps, Nail File, Nail Remover Cotton Pads,Brush, 2-in-1 Cuticle Scraper and Pusher, Nail Separator",,,"{'Brand': 'Lahien', 'Item Form': 'Pad', 'Unit Count': '5.2911 Ounce', 'Package Dimensions': '7.99 x 5.82 x 1.69 inches; 4.16 Ounces', 'UPC': '782910194573'}",B08CZ5JZMZ
142,41698,YsesoAi 28 Pcs Hair Curlers Spiral Curls No Heat Wave Hair Curlers Styling Kit Spiral Hair Curlers Magic Hair Rollers with 2 Pieces Styling Hooks for Most Kinds of Hairstyles (20 cm/ 7.8 inches),,,"{'Hair Type': 'Curly', 'Brand': 'YsesoAi', 'Color': 'Pink, Blue, Ivory, Yellow, Green', 'Item Dimensions LxWxH': '1.5 x 1.7 x 1.1 inches', 'Unit Count': '1.00 Count', 'Product Dimensions': '1.5 x 1.7 x 1.1 inches; 6.38 Ounces', 'UPC': '745895771436'}",B08BLKFGND
143,41793,"LANGE HAIR Extendé Conditioning Detangler Hair Spray - Paraben Free Leave-in Conditioner Spray, Detangles and Hydrates Hair, Moisture & Shine | 4OZ",,16.8,"{'Item Form': 'Liquid', 'Material Feature': 'Paraben Free', 'Hair Type': 'Curly, Dry', 'Product Benefits': 'Helps protect color and reinforces strands, leaving them strong and vibrant', 'Age Range (Description)': 'Adult', 'Package Dimensions': '6.5 x 1.4 x 1.4 inches; 4 Ounces', 'UPC': '793150592708'}",B07THLR7RR
144,41838,AG Care Natural Remedy Apple Cider Vinegar Leave On Mist,,21.0,"{'Brand': 'AG Care', 'Item Form': 'Spray', 'Material Feature': 'Plant Based, Vegan', 'Hair Type': 'All, Color Treated', 'Product Benefits': 'Gently cleanses and seals cuticle to enhance shine. Superfoods and apple cider vinegar support soft, healthy hair.Gently cleanses and seals cuticle to enhance shine. Superfoods and apple cider vinegar support soft, healthy hair.  See more', 'Product Dimensions': '1.75 x 1.75 x 6 inches; 6.14 Ounces', 'Item model number': '100150', 'UPC': '625336002391', 'Manufacturer': 'AG Hair', 'Country of Origin': 'Canada'}",B0BG6WX4DH
145,42599,"SUPRENT Razors for Men with Matrix Cutter Head, 38.5° Golden Angle Shaving Kit for Men, Travelling Razor Kit-1 Mens Razor Handle, 2 Blade Refills,1 Dock,1 Shave Foam",,,"{'Brand': 'SUPRENT', 'Number of Blades': '6', 'Unit Count': '1.00 Count', 'Skin Type': 'All', 'Handle Material': 'Metal', 'Product Dimensions': '3.94 x 3.94 x 1.97 inches; 1.28 Pounds'}",B0932Z1NM1
146,42616,Prairie Rose Organics Cocoa Butter Cream Peppermint Body Butter - Mint Cocoa Whipped Body Cream,,,"{'Brand': 'Prairie Rose Organics', 'Scent': 'Mint,Peppermint', 'Item Form': 'Lotion', 'Unit Count': '8.0 Ounce', 'Number of Items': '1', 'Package Dimensions': '4.21 x 4.21 x 3.15 inches; 10.23 Ounces', 'UPC': '617270048740'}",B08TB3DZ1D
147,42770,"Embryolisse Eau de Beaute Rosamelis Face Toner, 6.76 Fl Oz",,,"{'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '1.85 x 2.76 x 7.44 inches; 8.11 Ounces', 'Item model number': '501000', 'Manufacturer': 'Embryolisse'}",B00TK0VV68
148,42799,"BQAN 2 Pieces Wax Pencil for Rhinestones, Dual-ended Rhinestone Picker Dotting Tool, Wax Pen for DIY Nail Art, Rhinestone Gems Crystals Studs Picker With Pink Acrylic Handle (Pink & Pink)",,,"{'Package Dimensions': '7.6 x 3.54 x 1.46 inches; 2.89 Ounces', 'UPC': '710050098918'}",B093H28PD4
149,43105,"Headbands for Woman Pearls Headbands,Logiverl 2PCS Pearls Headband Elegant Hair Clip Hairpins Headwear Barrette Styling Tools Accessories for Christmas Gift",,,"{'Age Range (Description)': 'Adult', 'Material': 'velvet', 'Fabric Type': 'Velvet', 'Number of Items': '2', 'Brand': 'Logiverl', 'Package Dimensions': '7.6 x 5.3 x 1.3 inches; 3.21 Ounces', 'UPC': '682365963406'}",B07YV9J2YZ
150,43296,"Sdara Aloe Vera Gel For Face and Body - Organic & Natural, Soothing & Cooling For Sunburn Relief, Restorative For Dry Skin - Made In USA",,,"{'Brand': 'Sdara Skincare', 'Scent': 'Aloe Vera', 'Item Form': 'Gel', 'Unit Count': '1.00 Count', 'Number of Items': '1', 'Package Dimensions': '4.9 x 2.3 x 1.3 inches; 9.59 Ounces', 'UPC': '707486993085'}",B08879N2W3
151,43525,9 Pack Headbands Set -Messen Fashion Velvet Wide Hairband with Pearl Knitted Floral Fabric Cute Elegant Vintage Cross Knot Turban Elastic Hair Hoop Headwrap for Women Girls Hair Accessories,,,{'Package Dimensions': '10.8 x 6.6 x 2.1 inches; 14.07 Ounces'},B0837K9W6P
152,43563,"Rancco Dried Flower Buds Fragrant Petals Ball, 10 Kinds Natural Organic Flowers Ball, Premium Grade Dried Blooming Flower Tea Balls for Tea, Baking or Bath Bombs",,,"{'Brand': 'Rancco', 'Scent': 'Honey, Rose, Lily', 'Material Feature': 'Vegan', 'Unit Count': '10.00 Count', 'Number of Items': '10', 'Package Dimensions': '9.49 x 6.26 x 1.1 inches; 3.88 Ounces'}",B08KT7FCYY
153,44293,"CESTLV Bamboo Charcoal Toothbrush + Toothpaste Kit (10 Pack Bulk), Hotel Amenities for Guest & Travel, BPA Free, Individually Boxed Dental Kits, Recyclable",,,"{'Brand': ""C'est La Vie"", 'Age Range (Description)': 'Adult', 'Special Feature': 'Charcoal Toothbrush', 'Power Source': 'Battery Powered', 'Material Feature': 'Recyclable', 'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '7.4 x 3.62 x 2.2 inches; 7.05 Ounces', 'Item model number': '0011', 'UPC': '703980635810'}",B07DKRK8ZW
154,45237,"Baasha 4 Pcs Paddle Brush Set, Detangling Brush and Hair Comb Set, Thick Hair Brush Set for Men & Women, No More Tangle Hairbrush Comb Set, Hair Care Gift Set Hair Brush Comb Set",,,"{'Brand': 'Baasha', 'Shape': 'Rectangular', 'Handle Material': 'Rubber, Plastic', 'Product Benefits': 'Detangle', 'Unit Count': '1.00 Count', 'Package Dimensions': '10.2 x 3.43 x 2.01 inches; 7.34 Ounces'}",B082MDFNZM
155,45856,Altaba Long Wavy Wigs Ombre Red Synthetic Wigs Middle Part Natural Looking Heat Resistant Party Cosplay Full Wig for Women,,,"{'Material': 'Synthetic', 'Hair Type': 'Wavy', 'Style': 'Wavy', 'Special Feature': 'Glueless', 'Brand': 'Altaba'}",B08JPKXJMV
156,45894,Girlz Squad Foot Spa Sets for Girls Ages 7-12 with Nail Kit for Kids - DIY Manicure and Pedicure Set with Foot Care Kit Perfect for Sleepovers and Slumber Party. Helps Develop Self-Care and Creativity,,49.95,"{'Product Dimensions': '10 x 8 x 1.5 inches; 3 Pounds', 'UPC': '850026487275', 'Manufacturer': 'Girlz Squad'}",B0912BNP4J
157,46413,"Natwag Makeup Remover Pads,18 Pack 3.74 Inch Reusable Microfiber Cleansing Pad with Laundry Bag Suitable for All Skin Types,3 Color Facial Cleansing Pad Set.",,,"{'Brand': 'Natwag', 'Skin Type': 'All Skin,Dry', 'Material Feature': 'Reusable', 'Unit Count': '18.00 Count', 'Number of Items': '18', 'Package Dimensions': '4.4 x 4.37 x 2.59 inches; 3.84 Ounces', 'UPC': '745103569701'}",B087F14JSH
158,47502,"Mr. Pristine Organic Beard Conditioner to Grow, Thicken, Moisturize and Protect Your Beard, 8.5 oz.",,,"{'Brand': 'Mr. Pristine', 'Material Feature': 'Natural', 'Hair Type': 'Dry', 'Age Range (Description)': 'Adult', 'Unit Count': '8.5 Fl Oz', 'Package Dimensions': '3.1 x 2.5 x 2.36 inches; 7.76 Ounces', 'UPC': '627843801825', 'Manufacturer': 'Mr. Pristine'}",B085J354CL
159,48091,"BJÖRN HALL Nurse Headband with Buttons for Face Mask | Elastic Swimsuit Material, Smooth & Stretchy | Ear Saver Headband with Buttons | Perfect for Nurses, Doctors & Medical Students",,,{'Package Dimensions': '5.4 x 4.9 x 0.5 inches; 0.81 Ounces'},B086YBQ8M7
160,48208,Automatic Hand Soap/Sanitizer Dispenser Kit - Table liquid Dispenser Pump Station 13.5 oz. Alcohol-Based Sprayer,,,"{'Color': 'Transparent', 'Material': 'Abs', 'Brand': 'YAPASPT', 'Number of Sets': '1', 'Package Dimensions': '8.4 x 4 x 3.5 inches; 10.41 Ounces', 'UPC': '710050025280'}",B089YGZZYP
161,48353,"Automatic Curling Iron, Rechargeable Cordless Hair Curler with LCD Digital Display and 6 Temperature Settings, Fast Heating Portable Automatic Hair Curler for Styling Hair Anytime ( Pink )",,,"{'Brand': 'LUZZAM', 'Hair Type': 'Curly', 'Material': 'Ceramic', 'Color': 'Pink', 'Product Dimensions': '2.36 x 1.97 x 7.48 inches; 15.2 Ounces', 'Manufacturer': 'LUZZAM'}",B09G22586Y
162,48408,"2020 UPGRADED Exfoliating Loofah Sponge Pads, Natural Luffa Material Loofah Pads Shower Body Scruber for Men/Women Bath Spa and Shower (3 Pack)",,,"{'Material': 'Loofah', 'Brand': 'Marsheepy', 'Style': 'Pad', 'Item Form': 'Pad', 'Number of Pieces': '3', 'Package Dimensions': '8 x 6 x 2 inches; 3.21 Ounces', 'UPC': '780317215334', 'Manufacturer': 'Anthone Amo'}",B08B5FJMHM
163,48623,Long Black Wavy Wig with Bangs for Women Synthetic Wigs Natural Looking Realistic Wigs Hair for Daily Party Cosplay Use,,,"{'Item Dimensions LxWxH': '24 x 6.3 x 1.57 inches', 'Hair Type': 'Wavy', 'Style': 'Wavy', 'Brand': 'HNYBEE', 'Age Range (Description)': 'Adult', 'Product Dimensions': '24 x 6.3 x 1.57 inches; 14.32 Ounces', 'UPC': '723509998806'}",B08S2LYN64
164,48701,QTMY Wide Headbands Fashion Women Baroque Crystal Gemstone Hair Accessories Head Band Fashion Headwear Hairbands for Women,,,"{'Age Range (Description)': 'Adult', 'Occasion': 'Wedding, Birthday', 'Material': 'Plastic', 'Number of Items': '1', 'Brand': 'QTMY', 'Is Discontinued By Manufacturer': 'No', 'Package Dimensions': '6.5 x 5.94 x 1.97 inches; 5.61 Ounces', 'Item model number': 'ZJ'}",B086N2SY91
165,49270,"Hand Crafted Ceramic Aromatherapy Essential Oil Diffuser,100ml Fragrant Room Sprays Ultrasonic Aroma Mist Atomizer BPA-Free, Waterless Auto Shut-Off and 7 Color Night Lights for Office Home Study Yoga",,,"{'Brand': 'BRNBW', 'Material': 'Ceramic', 'Special Feature': 'Multiple Light Setting, Automatic Shut Off', 'Power Source': 'Corded Electric', 'Capacity': '100 Milliliters', 'Product Dimensions': '3.6 x 3.6 x 6.3 inches; 1.12 Pounds', 'UPC': '665059186312'}",B07T3Z58HL
